achievements_title;Milestones
lore_id_35_text;I can't believe it, betrayed by a fellow adventurer. I mean, I understand the envy, it must be tough to meet someone so clearly your superior. But murder? Wow, just WOW. Now I suppose I'll need to haunt them or something before I can “move on”, unfinished business and such. Not sure what they look like, though…I guess I'll just look for an adventurer who looks “murdery”. Haunt them for a while, make them see the error of their ways, then off to…somewhere cool, I hope.
lore_id_35_title;Page 2
lore_id_36_text;Dead sucks. Haunting sucks. It's not working. I've spooked at least a dozen murdery-looking adventurer types, and no beautiful, otherworldly light from above to walk into yet. And I…I don't know, it's getting harder to think lately. Makes me tired. If I don't figure this out soon, I'm afraid I'll end up like the other mindless ghosts around here, just floating about and beating on whoever comes along. Hah! I'll be fine. The Hunter always wins!
lore_id_36_title;Page 3
lore_id_37_text;An honest man, in taking stock of what is absolutely necessary for a good life, will find little. Enough food not to suffer hunger, enough shelter not to suffer the elements, enough water not to suffer thirst. The excesses most men indulge in weaken them, bind them up with a thousand “needs” that are truly “wants”. They toil endlessly after them, somehow blind to their utter uselessness. I have long tried to free men from such chains, but they only see a “madman” crying out in the town square. 
lore_id_37_title;Page 1
lore_id_38_text;From then on I abandoned my academic pursuits and focused solely on survival. The risk I had taken would be worth less than nothing if I could not, at least, escape with my life. Though my map was useless, I hoped that the notes I had written concerning the many dangers of the Ancient Dungeon would have some value. I continued with great caution, moving slowly and carefully. Many more weeks passed, but I survived, creeping ever downward, until I finally met…the end.
lore_id_38_title;Page 3
lore_id_39_text;I suffered a thousand-thousand wounds as I progressed, but such ravages were small things to me. I fought and bled for hours, then days, and with each passing moment grew more assured of the divines’ blessing upon me. My fervor was such that I did not notice the gradually slowing of my pace, the softening of my blows…or my increasingly shallow breaths. Even so, I continued to slay until my very last moment, eventually collapsing into a motionless heap, a terrible ghoul freshly skewered by my sword.
lore_id_39_title;Page 3
lore_id_3_text;I've always loved animals. They're just SO MUCH BETTER than people! Some are cute and soft, others ugly and hard, but all of them are AMAZING! I've always spent as much time with animals as I could, sometimes just observing, but also hugging, and smooching, and cuddling them. Even better, when they die (old and happy, of course), you can take them apart and learn SO MUCH! I'll never forget my first dissection, it was magical.
lore_id_3_title;Page 1
lore_id_40_text;True, my appearance is meager, but the peace within me is grand. I could not convince others of the power of my way with mere words, so I sought to put it on display. One day I announced to all that I would venture into the Ancient Dungeon and emerge alive from it. The simple folk there laughed at me and mocked the frailty of my body, certain that I would be slaughtered. I bid them follow me, witness my entrance and, subsequently, my exit. Few followed, but it would have been enough.
lore_id_40_title;Page 2
lore_id_41_text;A life of noble restraint had hardened my constitution and will to iron. The perils presented within the dungeon were nearly inconsequential to me, and I passed them by with a wisdom borne of a lengthy life of deprivation. Amazingly, I came upon food and water with greater ease than ever before, and I ate and drank so steadily I wondered if it were in excess. The creatures within regarded me mostly without interest, and those that pursued I easily evaded. My success seemed assured.
lore_id_41_title;Page 3
luminous_depths;The Luminous Depths
luminous_depths_text;These caves…unbelievable. The air itself shimmers with magic and gigantic glowing crystals pierce the massive stone chambers from floor to ceiling. Small waterfalls cascade into pools of crystal clear water and scatter the soft light . A strange breed of ribbon-like grass sways in unseen winds. It is all terribly strange and beautiful.<br><br>Tch, tch…my words do no justice to this place, but I am happy to be here. I think I will finally sleep well tonight, perhaps even dream.<br><br>Maybe I’ll dream of home.<br><br>
luminous_depths_title;Luminous Depths
magicwand_combo_name;Tome & Wand
magicwand_primary_crit_stat_name;Spell Crit
magicwand_primary_damage_stat_name;Spell Dmg
magicwand_primary_name;Wand
magicwand_secondary_crit_stat_name;Incantation Crit
magicwand_secondary_damage_stat_name;Incantation Dmg
magicwand_secondary_name;Tome
main_menu;Main Menu
master_volume;Master Volume
mods;Mods
movement_type;Movement Type
mp_change_appearance;Change Look
mp_choose_color;Choose Color
multiplayer_allow_mods;Allow Mods
multiplayer_allow_monke;Allow Monke Movement
multiplayer_bad_word_filter;Room name not allowed! Please choose a different room name.
multiplayer_connected_adventurers;Connected Adventurers
multiplayer_connecting_please_wait;Connecting to room. Please wait...
multiplayer_contacting_failed_try_again;Could not connect. Retrying...
multiplayer_contacting_oculus_servers;Contacting Oculus servers...
multiplayer_contacting_steam_servers;Contacting Steam servers...
multiplayer_could_not_connect_public_rooms;Could not connect to public lobbies list...
multiplayer_create_a_lobby;Create a lobby
multiplayer_create_a_lobby_desc;Create a private or public lobby that your friends or random people can join
multiplayer_error_connecting_to_room;Connection error! Unable to join room.
multiplayer_error_photon_cloud_timeout;Disconnect from room because of a timeout (maybe your connection was interrupted?). Reloading game in a few seconds...
multiplayer_finishrun_wait_for_host;Host needs to enter in order to finish run...
multiplayer_game_browser;Game Browser
multiplayer_join_a_lobby;Join a lobby
multiplayer_join_via_code;Join via code
multiplayer_join_via_code_desc;Join a private game via a room code
multiplayer_leave_session;Exit Multiplayer Session
multiplayer_lobby_settings;Lobby Settings
multiplayer_lobby_type;Lobby Type
multiplayer_max_players;Max Players
multiplayer_mods_not_allowed;The room you want to connect to does not allow mods. Please disable all mods in your settings menu or choose a lobby that accepts mods.
multiplayer_newer_version_please_update;Unable to join the room: Your game version is outdated. Please update to the latest version to continue playing.
multiplayer_ngplus_wait_for_host;Host needs to enter in order to start NG+
multiplayer_no_public_rooms;No public rooms found...
multiplayer_oculus_no_auth_values;Cannot join room: authentication failed on the Oculus servers! Please relaunch the game and try again.
multiplayer_only_host_can_start;Only the host can start runs!
multiplayer_player_joined_game;<id> joined the game!
multiplayer_player_revive_hint;Press Trigger to revive!
multiplayer_press_to_mark_as_ready;Press to mark as ready!
multiplayer_private_lobby;Private Lobby
multiplayer_private_lobby_description;Enter a minimum 4 letter room code to connect
multiplayer_public_games;Public Games
multiplayer_public_lobby;Public Lobby
multiplayer_room_code_already_exists;The room code you entered is already in use. Please try another one!
multiplayer_select_region;Select Server Region
multiplayer_select_region_description;Be sure that your friends use the same region when joining!
multiplayer_shutdown_error;Cannot join room: General Error. Please make sure you are connected to the internet!
multiplayer_shutdown_reason_connection_timeout;Connection timed out. Please check your internet connection.
multiplayer_shutdown_reason_game_closed;Room unavailable: players have already entered the dungeon.
multiplayer_shutdown_reason_game_is_full;Room full: maximum player limit reached.
multiplayer_start_run_make_sure_players_in_homebase;Make sure all players are in the home base and not in the main or settings menu!
multiplayer_start_run_only_one_player;You need at least 2 players in the room to start a run!
multiplayer_steam_not_initialized;Cannot join room: authentication failed on the Steam servers! Please relaunch the game and try again.
multiplayer_timeout_while_connecting;Cannot join room: Timeout while trying to connect. Please try again...
multiplayer_wait_for_players_to_get_ready;Waiting for other players to get ready...
multiplayer_warning_mods_enabled;Warning!<br>Mods are turned on! You can join lobbies that allow mods, but not ones that don’t. Turn off mods in the settings menu to see and join all public lobbies.
multiplayer_you_are_connected;Connected to room:
music_volume;Music Volume
new_game_plus_prefix;New Game
noxious_sewers;The Noxious Sewers
noxious_sewers_text;To state the obvious: this place stinks.<br><br>I admit, I gave no thought to the more…mechanical needs of the dungeon’s inhabitants, past or present. Whatever force incepted this place, we need not wonder about its pragmatism.<br><br>I believe I have made some peace with the likelihood that I will die here. The bare, base nature of my current surroundings demands humility. I will continue my work, as best I can, and be satisfied.<br><br>(I do hope to find another region of the dungeon soon, however, the smell really is awful.)<br><br>
noxious_sewers_title;Noxious Sewers
off;Off
on;On
other;Other
overgrown_gatehouse;The Overgrown Gatehouse
overgrown_gatehouse_text;It is the end of my first day within the Ancient Dungeon, and I am wildly optimistic.<br><br>Despite my surroundings being a bit less than “dungeon-like”, they are untouched. In a world less and less unknown to mankind, it is truly thrilling to be within such a mystery.<br><br>I have begun my map. With perseverance, it is sure to be the greatest achievement of my life.<br><br>
overgrown_gatehouse_title;Overgrown Gatehouse
penitent_delve_desc;The Penitent humbled himself through constant flagellation. You will be hardy, but take constant damage every few seconds.
penitent_delve_name;The Penitent's Delve
poi_arcane_rift_bestiary_name;Arcane Rift
poi_clarence_bestiary_name;Clarence
popup_unlocked_hard_mode;Unlocked Hard difficulty at run selection!
presets;Presets
progress_another_interesting_point_desc;Points of interest have a higher chance of appearing.
progress_another_interesting_point_name;Another Interesting Point
progress_arcane_momentum_desc;Special attacks need less hits to charge up
progress_arcane_momentum_name;Arcane Momentum
progress_a_point_of_interest_desc;Areas featuring unique elements may be found
progress_a_point_of_interest_name;A Point of Interest
progress_a_walk_in_the_park_desc;Movement speed increases when no enemies are present
progress_a_walk_in_the_park_name;A Walk in the Park
progress_business_senseless_desc;<i>Merchants offer an additional item for sale when a purchase is made.</i>
progress_business_senseless_name;Business Sense(less)
progress_carto_graphix_desc;Chests, Relics and sacrifice statues you encounter are indicated on the map
progress_carto_graphix_name;Carto GraphiX
progress_cascading_power_desc;Basic stat boost upgrades have a small chance of being applied twice when picked up.
progress_cascading_power_name;Cascading Power
progress_caustic_alloy_desc;Your dagger's damage is increased when striking aberrant or boss enemies.
progress_caustic_alloy_name;Caustic Alloy
progress_devilish_deals_desc;<i>Some rooms contain mysterious statues with which a bargain can be made.</i>
progress_devilish_deals_name;Devilish Deals
progress_dilemmatic_pedestals_desc;<i>Pedestals may offer two upgrade items to choose from.</i>
progress_dilemmatic_pedestals_name;Dilemmatic Pedestals
progress_double_edged_desc;Your knife deals its full damage when returning to your hand.
progress_double_edged_name;Double Edged
progress_errant_entrances_desc;<i>Alternate Floors are unlocked.</i>
progress_errant_entrances_name;Errant Entrances
progress_fold_of_abberation_desc;Your weapon damage is increased when striking aberrant enemies.
progress_fold_of_abberation_name;Fold of Aberration
progress_fold_of_obliteration_desc;Your weapon damage is increased when striking boss enemies.
progress_fold_of_obliteration_name;Fold of Obliteration
progress_forceful_flourish_desc;Striking enemies with your charged wand will knock them back a great distance
progress_forceful_flourish_name;Forceful Flourish
progress_gourmet_selections_desc;A greater variety of food items can be found while exploring
progress_gourmet_selections_name;Gourmet Selections
progress_hidden_passages_desc;<i>Secret areas may be found in walls, ceilings, or floors.</i>
progress_hidden_passages_name;Hidden Passages
progress_honeypot_desc;<i>Interspersed among the mundane ceramics, golden pots brimming with coin can rarely be found.</i>
progress_honeypot_name;Precious Pottery
progress_introspecd_desc;The stat screen will show you more detailed information on your stats
progress_introspecd_name;Introspec'd
progress_i_have_a_system_desc;<i>Your chance of winning at The Merchant's Slot Machine is increased.</i>
progress_i_have_a_system_name;I have a system
progress_last_meal_desc;Stored food is automatically consumed when lethal damage could occur
progress_last_meal_name;Last Meal
progress_lethal_precision_desc;Start with 5% increased crit chance on all weapons
progress_lethal_precision_name;Lethal Precision
progress_magnetic_aesthetic_desc;Coins and keys are collected from a greater distance
progress_magnetic_aesthetic_name;Magnetic Aesthetic
progress_mana_mastery_desc;Mana replenishes more quickly
progress_mana_mastery_name;Mana Mastery
progress_marvellous_marks_desc;<i>Having a mark equipped grants an additional effect unique to the mark.</i>
progress_marvellous_marks_name;Marvellous Marks
progress_perfect_balance_desc;When you defeat an enemy, you gain a short period of increased weapon damage.
progress_perfect_balance_name;Perfect Balance
progress_phantom_step_desc;Start with 20% evasion until you take damage. Resets on every new area entered.
progress_phantom_step_name;Phantom Step
progress_pressurized_capsule_desc;The size of the explosion caused by your crossbow bolt's strike is increased.
progress_pressurized_capsule_name;Pressurized Capsule
progress_reactive_polarization_desc;When you defeat an enemy with the dagger, your crossbow bolt is retrieved immediately.
progress_reactive_polarization_name;Reactive Polarization
progress_relic_hunter_desc;Undiscovered relics have a greater chance of appearing
progress_relic_hunter_name;Relic Hunter
progress_ritual_of_blood_desc;The tomes sweep attack deals an additional bleeding effect
progress_ritual_of_blood_name;Ritual of Blood
progress_shiney_slimey_desc;<i>Golden Slimes may appear throughout all areas of The Ancient Dungeon.</i>
progress_shiney_slimey_name;Shiney Slimey
progress_smorgasbord_desc;<i>Merchants will always offer some food for adventurers that arrive with low health.</i>
progress_smorgasbord_name;Smorgasbord
progress_super_size_me_desc;<i>Food has a chance of getting upgraded to the next tier.</i>
progress_super_size_me_name;Super Size Me
progress_swift_stride_desc;Start with 10% increased movement speed.
progress_swift_stride_name;Swift Stride
progress_tensioning_winch_desc;The longer the crossbow is loaded, the more damage it will do (up to 30% more damage after 12 seconds)
progress_tensioning_winch_name;Tensioning Winch
progress_tethered_bolt_desc;You can retrieve your crossbow's bolt more quickly and from a greater distance.
progress_tethered_bolt_name;Tethered Bolt
progress_the_boss_stash_desc;<i>You receive a potato after defeating boss enemies.</i>
progress_the_boss_stash_name;The Boss's Stash
progress_weighted_pommel_desc;Your sword strikes deal a small amount of damage to all nearby enemies.
progress_weighted_pommel_name;Weighted Pommel
progress_willful_hearts_desc;Items offerring different types of protection may appear within The Ancient Dungeon
progress_willful_hearts_name;Willful Hearts
progress_words_of_vengeance_desc;Your spell damage is increased when striking aberrant or boss enemies
progress_words_of_vengeance_name;Words of Vengeance
quest;Quest
quit;Quit
rate_us_on_the_store;Rate us!
recommended;Recommended
reconnect;Reconnect
region_asia;Asia
region_eu;Europe
region_sa;South America
region_us;North America
rift;Rift
rift_quest;Rift / Quest
right;Right
right_controller;Right Controller
right_hand;Right Hand
run_preparation_continue_saved_run;Continue saved run
run_preparation_customized_run_hint;Note: Custom runs will not count towards your achievements and lore pages
run_preparation_custom_run;Customized Run
run_preparation_difficulty_hard;Hard
run_preparation_difficulty_hard_desc;-Bosses are harder<br>-Bosses deal double damage<br>-More aberrant enemies spawn<br>-More enemies spawn<br>-Food and money are more scarce
run_preparation_difficulty_normal;Normal
run_preparation_enter_custom_dungeon;Enter the custom Dungeon
run_preparation_enter_seed_hint;Enter a custom seed (leave empty for random)
run_preparation_enter_seed_placeholder;Enter Seed
run_preparation_enter_the_dungeon;Enter the Dungeon
run_preparation_hard_mode;Hard Mode
run_preparation_ready;Ready?
run_preparation_select_difficulty;Select Difficulty
run_preparation_select_weapon;Select Weapon
run_preparation_title;Run Preparation
run_stats_adventurers_entered;Adventurers entered:
run_stats_adventurers_returned;Adventurers that returned:
run_stats_title;Information
sacrifice_statue_hint_coins;Press Trigger on both controllers to sacrifice 15 coins
sacrifice_statue_hint_health;Press Trigger on both controllers to sacrifice 1 health
sacrifice_statue_hint_hpcontainers;Press Trigger on both controllers to sacrifice 1 heart container
sacrifice_statue_hint_keys;Press Trigger on both controllers to sacrifice 1 key
saturation;Sat
save_and_quit;Save and Quit
sealed_apocrypha;The Sealed Apocrypha
sebwr_banana_peel_desc;Significantly increases evasion, but decreases your number of hearts
sebwr_banana_peel_name;Banana Peel
sebwr_burlap_blindfold_desc;Drastically increases all your characteristics, but relics will no longer be identifiable in advance
sebwr_burlap_blindfold_name;Burlap Blindfold
sebwr_cursed_knife_desc;The next enemy you kill will have a drastically reduced amount of HP from that point on. Resets on every floor.
sebwr_cursed_knife_name;Cursed Knife
sebwr_five_fingers_desc;All shop items are free, but you can only buy 1 item.
sebwr_five_fingers_name;Five Fingers
sebwr_ginseng_root_desc;Gain 5 Insight
sebwr_ginseng_root_name;Ginseng Root
sebwr_hagglers_mark_desc;Once charged, use to teleport to the area merchant
sebwr_hagglers_mark_name;Haggler's Mark
sebwr_miasmic_toadskin_desc;Poison a random enemy when entering a room for the first time
sebwr_miasmic_toadskin_name;Miasmic Toadskin
sebwr_possessed_anvil_desc;Significantly increases the size of your melee weapon and slightly increases melee damage
sebwr_possessed_anvil_name;Possessed Anvil
sebwr_sacred_fetish_desc;Enemies have a small chance of being banished upon appearance
sebwr_sacred_fetish_name;Sacred Fetish
sebwr_shining_catalyst_desc;Orbs are converted to coins on pickup
sebwr_shining_catalyst_name;Shining Catalyst
sebwr_slimy_i_o_u_desc;Food in rest areas are replaced with relics
sebwr_slimy_i_o_u_name;Slimy I.O.U.
sebwr_spoiled_brat_desc;Merchant items are free, but each item taken slightly decreases all characteristics
sebwr_spoiled_brat_name;Spoiled Brat
sebwr_sticky_finger_desc;Shop items are free, but only one item can be obtained.
sebwr_sticky_finger_name;Sticky Finger
sebwr_ticking_treat_desc;Food explodes when striking enemies
sebwr_ticking_treat_name;Ticking Treat
sebwr_wasp_nest_desc;The next five times you are hit, critical chance increases
sebwr_wasp_nest_name;Wasp Nest
sebwr_worm_shovel_desc;Powerful relics will appear more commonly throughout the dungeon
sebwr_worm_shovel_name;Worm Shovel
sebwr_worn_shovel_desc;Powerful relics will appear more commonly throughout the dungeon
sebwr_worn_shovel_name;Worn Shovel
seed;Seed
seer_ui_enter_memories;Enter Memories
seer_ui_title;Memories
select_preset_message_1;This seems to be your first time playing, please select a controller preset down below.
select_preset_message_2;Warning when selecting other: The game should still work as expected, but there can be differences in hand offset and mappings as each controller is different.
settings;Settings
settings_accessibility_play_mode;Play Mode
settings_accessibility_seated;Seated
settings_accessibility_seated_offset;Seated Mode Height Offset
settings_accessibility_standing;Standing
settings_accessibility_title;Accessibility
settings_advanced_bhaptics;BHaptics Vest Support
settings_advanced_controller_vibrations;Controller Vibrations
settings_advanced_fast_respawn;Fast Respawn Mode
settings_advanced_heartbeat_sound;Low HP Heartbeat Sound
settings_advanced_high_performance_mode;High Performance Mode
settings_advanced_ingame_console;Ingame Console
settings_advanced_ingame_console_toggle;Toggle Console
settings_advanced_ingame_console_warning;Enabling console disables unlocks and achievements for the current run!
settings_advanced_speedrun_stats;Speedrun Stats on complete
settings_advanced_title;Advanced Settings
settings_combat_hold_angle;Hold Angle
settings_combat_title;Combat Settings
settings_combat_title_advanced;Advanced Combat Settings
settings_combat_warning_not_in_run;Combat Settings can only be changed while in a run because they are weapon specific!<br><br>To change the settings, please start a run and return to the settings menu!
settings_combat_warning_no_settings;Your current weapon combo does not have any settings for combat.
settings_graphics_normal_resolution;Enabled
settings_graphics_general_graphics_settings;General Graphics Settings
settings_graphics_visible_body;Visible Body
settings_graphics_shadow_effects;Shadow Effects
settings_misc_connect_to_twitch;Connect to Twitch
settings_misc_performance_mode_hint;Reduces Particles, Corpses and some visual effects
settings_misc_spectator_cam;Spectator Cam
settings_misc_spectator_cam_hint;Spectator cam takes up additional performance!
settings_misc_title;Miscellaneous
settings_mods_unsaved_changes;You have unsaved changes.<br>Click to apply these!
settings_movement_advanced_settings;Advanced Movement Settings
settings_movement_comfort_vignette;Comfort Vignette
settings_movement_controller_direction;Controller Direction
settings_movement_headset_direction;Headset Direction
settings_movement_joystick_deadzone;Joystick Deadzone
settings_movement_movement_direction;Movement Direction
settings_movement_smooth_turn;Smooth Turn
settings_movement_smooth_turn_speed;Smooth Turn Speed
settings_movement_snap_turn;Snap Turn
settings_movement_snap_turn_angle;Snap Turn Angle
settings_movement_title;Movement Settings
settings_movement_turning_mode;Turning Mode
settings_preset_selection;Preset Selection
settings_tab_combat;Combat
settings_tab_graphics;Graphics
settings_tab_misc;Misc
settings_tab_movement;Movement
settings_tab_soundmusic;Sound & Music
sfx_volume;SFX Volume
slot_machine_hit_me;Hit me!
slot_machine_jackpot;Jackpot!<br><br>All stats up!
smooth_movement;Smooth Movement
speechbubble_descdendant_blacksmith_tome_choice1_option1;Of me?
speechbubble_descdendant_blacksmith_tome_choice2_option1;Because the tome is bound in the flesh of your forebears?
speechbubble_descdendant_blacksmith_tome_dialog1;I don't approve.
speechbubble_descdendant_blacksmith_tome_dialog2;No, of this... wand and tome situation. Too magic-y. My great-great-great uncle was mad to construct them.
speechbubble_descdendant_blacksmith_tome_dialog3;What? No! Why would you even think that?
speechbubble_descdendant_blacksmith_tome_end;Sheesh... just get to your adventuring, adventurer. Use the tome if you like. Just be creepy elsewhere.
speechbubble_descendant_blacksmith_augmentshop_choice1_option1;Yes?
speechbubble_descendant_blacksmith_augmentshop_choice2_option1;Awesome!
speechbubble_descendant_blacksmith_augmentshop_dialog1;Hold, please, and listen for a moment.
speechbubble_descendant_blacksmith_augmentshop_dialog2;Another like you has blooded The Beast, and my weapons can be strengthened as a result. The blood can change and empower them
speechbubble_descendant_blacksmith_augmentshop_end;Yes, it can be awe-inspiring. Since you are next to risk your life in that place, I feel it is only right that you decide how the blood is used. I’ve made some plans and posted them near the anvil, please take a look.
speechbubble_descendant_blacksmith_crossbow_choice1_option1;It's fine, I guess?
speechbubble_descendant_blacksmith_crossbow_choice2_option1;Actually, that knife-
speechbubble_descendant_blacksmith_crossbow_choice3_option1;...
speechbubble_descendant_blacksmith_crossbow_dialog1;How's your eyesight?
speechbubble_descendant_blacksmith_crossbow_dialog2;Hmpf. Good enough. Take this crossbow and dagger.
speechbubble_descendant_blacksmith_crossbow_dialog3;No! It's on... reserve. For... Timothy. The mighty. Timothy the Mighty.
speechbubble_descendant_blacksmith_crossbow_end;Just take the crossbow, okay? Off you go, good luck, yada yada...
speechbubble_descendant_blacksmith_introduction_choice1_option1;...hello?
speechbubble_descendant_blacksmith_introduction_choice2_option1;I do.
speechbubble_descendant_blacksmith_introduction_dialog1;...
speechbubble_descendant_blacksmith_introduction_dialog2;Greetings. You intend to go inside, I take it?
speechbubble_descendant_blacksmith_introduction_end;So be it. I would warn you away, but I know there is no use in it. Instead, I bid you only to take care. The Ancient Dungeon is a dangerous place.
speechbubble_descendant_blacksmith_rand_1;No, I don’t just stand here all the time! I just do all my forgework while you lot are in the dungeon, lest I be pestered with inane questions!
speechbubble_descendant_blacksmith_rand_2;The hammer is the first thing my family forged, untold generations ago. It is made of the same stuff as our weapons, but heated differently to make it harder and more durable.
speechbubble_descendant_blacksmith_rand_3;My grandfather’s grandfather completed the knife, and what a shock it gave him when he threw it! Nearly took off his ear when it came soaring back!
speechbubble_descendant_blacksmith_rand_4;As long as that dungeon has been around, so has my family. We hold it as a sacred duty to forge weapons to aid in its destruction.
speechbubble_descendant_blacksmith_rand_5;The weapons my family forges always make their way back to us, regardless of the wielder’s fate. We don’t really understand it, but we certainly appreciate it.
speechbubble_descendant_blacksmith_rand_6;That acolyte fellow keeps pestering me with “hello” and “good morning” and such. To my mind, silence is better left unbroken...especially in the morning.
speechbubble_descendant_blacksmith_rand_7;The Ancient Dungeon churns beneath the earth constantly, moving about bit by bit. The last entrance found was nearly 500 miles southeast of here!
speechbubble_descendant_blacksmith_rand_8;Last night, I dreamed that the dungeon spoke to me. Odd, and more odd still, I swear it sounded familiar...
speechbubble_descendant_blacksmith_rand_9;I've heard tell that there are “merchants” in the dungeon, selling oddments. Be wary, friend: anything that lives in that place surely means you harm.
speechbubble_ghost_id_1000_cradle_talk;Good luck, adventurer…heck, great luck, the absolute best luck! Now... I'm off to take a nap.
speechbubble_ghost_id_1000_fl_part1;Sure, I could have practiced with my sword a bit more before going in. Sure, I could have packed some food. But would that have really made any difference?
speechbubble_ghost_id_1000_fl_part2;Maybe. Maybe not. That's the problem with luck, good or bad: you never know exactly how much you'll get and how much you'll need. Even years of preparation might be one day too little.
speechbubble_ghost_id_1000_fl_part3;I'm glad we got to talk, it helped me get a few things straight in my head. I had a bit of doubt in the back of my mind, and now it's gone. I feel lighter.
speechbubble_ghost_id_1000_og_part1;So, I came across a big suit of armor lumbering around a room with a big sword. It was pretty slow, so I figured I could just, you know, “duck and weave” my way to destroying the thing.
speechbubble_ghost_id_1000_og_part2;I ducked. I wove. I hit it. It just refused to...die? Disanimate? Anyway, I was getting tired and it was too late to run away. My hits got weaker, my movements slower and...
speechbubble_ghost_id_1000_og_part3;Okay, I'll say it: it lopped my noggin clean off, despite my hair being extremely well-coiffed. Just plain bad luck, that.
speechbubble_ghost_id_1000_tc_part1;Wow, that was exhausting just to watch! You got a few lucky hits in, just enough, I'd wager. All the same, what a show
speechbubble_ghost_id_1000_tc_part2;Sheesh, I really am tired! I can't remember ever being this tired. Lucky me, though, it looks like there's a nice, comfy bed over yonder, just past that light...
speechbubble_ghost_id_1000_unlockRunPart;<i>The ghost is clearly smirking, and gives you a knowing wink as you consider it.</i>
speechbubble_ghost_id_1001_cradleTalk;All the same, I thank you, adventurer. I can finally rest.
speechbubble_ghost_id_1001_fl_part1;A gigantic yellow eye opened in front of me, glowing fiercely with an inward light that fully revealed its terrible form.
speechbubble_ghost_id_1001_fl_part2;A massive, fleshy orb with a single eye and a toothy, gaping maw. Every bit of me wanted to run, but something more than just fear kept me still.
speechbubble_ghost_id_1001_fl_part3;I could not scream when it bit into me. I could not weep for the loss of my simple, foolish life.
speechbubble_ghost_id_1001_og_part1;After so much wandering, I was almost glad to find no way forward. I had lowered myself into a pit, a cliff on one side, an abyss on the other.
speechbubble_ghost_id_1001_og_part2;It was quiet, and dark, and still. I sat on the ledge and stared into that blackness for minutes on end…
speechbubble_ghost_id_1001_og_part3;…until something stared back.
speechbubble_ghost_id_1001_tc_part1;I died for a chance to make a mark on the world, on history. Now, I wonder about that choice. What's wrong with a small life, well-lived and unnoticed?
speechbubble_ghost_id_1001_tc_part2;I was not the first to die in such a manner, and I won't be the last. It is a strange kind of madness.
speechbubble_ghost_id_1001_unlockRunPart;<i>The ghost looks at you with a sad smile on its face, and gives a little wave in greeting.</i>
speechbubble_ghost_id_1010_cradleTalk;Ew. That gave me a shiver. I'm sure there are animals. Dogs, at the very least.
speechbubble_ghost_id_1010_fl_part1;It's my fault, really. Animals do things based on instinct, not on rational thought. I just forget that sometimes, what with them being so cute and amazing.
speechbubble_ghost_id_1010_fl_part2;I mean, if Clarence had thought about how much we meant to each other, I'm sure he wouldn't have eaten a hole into my skull.
speechbubble_ghost_id_1010_fl_part3;At least I know he doesn't feel guilty. He probably just feels…full, I guess.
speechbubble_ghost_id_1010_og_part1;I really think every negative interaction is the result of poor communication. I prided myself on understanding what animals tried to communicate, but…sometimes I was wrong.
speechbubble_ghost_id_1010_og_part2;I was wrong with Clarence. Clarence wasn't cuddly, he was hungry. I went to sleep with him burbling in my hair one night…and, well, he burbled a hole right through it.
speechbubble_ghost_id_1010_og_part3;On the bright side, at least Clarence isn't hungry anymore. I really hope he gets to grow up and be big and strong like all his friends.
speechbubble_ghost_id_1010_tc_part1;Hey, thanks for hearing me out. In all honesty, I think I was feeling a bit…resentful towards Clarence. But he was just being him. Cute, amazing, and dangerously acidic.
speechbubble_ghost_id_1010_tc_part2;Time for me to go. Do you think there are any animals on the other side? I hope so. If not, I suppose I could give “people” a chance.
speechbubble_ghost_id_1010_unlockRunPart;<i>The ghost's eyes scan you up and down, drinking in every detail. You have a feeling it very much wants to poke you.</i>
speechbubble_ghost_id_1011_cradleTalk;And remember! Be careful, no matter what. A bit of fear can be a good thing, keeps you safe.
speechbubble_ghost_id_1011_fl_part1;I think I remember now. I didn't die from some murdery adventurer. I think it was a skeleton. A stupid skeleton.
speechbubble_ghost_id_1011_fl_part2;I wasn't being careful. I figured nothing could touch me. Ya know…being The Hunter, and all. Kinda dumb of me.
speechbubble_ghost_id_1011_fl_part3;Hey, you be careful, though! I wouldn't want what happened to me to happen to you.
speechbubble_ghost_id_1011_og_part1;Oh…hey. Looks like one of you adventurers knocked my senses back into me. Weird…can't see how anyone could have beat me.
speechbubble_ghost_id_1011_og_part2;Well, I suppose if they were, like, the GREATEST adventurer ever, they might have beat me. That must be it…right?
speechbubble_ghost_id_1011_og_part3;Well…uh, good luck and all. Hope you survive. Being a ghost isn't much fun.
speechbubble_ghost_id_1011_tc_part1;Wow, that was great. Really awesome. If I hadn't been so big-headed, maybe I could've done something like that.
speechbubble_ghost_id_1011_tc_part2;I feel better now. Ready to move on. I can't thank you enough.
speechbubble_ghost_id_1011_unlockRunPart;<i>A grimace is clearly evident on the ghost's vague features as it gazes at you, but the apparition remains still.</i>
speechbubble_ghost_id_1020_cradleTalk;Good night friend.
speechbubble_ghost_id_1020_fl_part1;I think that we are friends now. You are not mean to me like the town people so we are friends. Hello new friend.
speechbubble_ghost_id_1020_fl_part2;I am happy. I was alone and very scared and very sad but now I have a new friend. You are strong like me but not big like me.
speechbubble_ghost_id_1020_fl_part3;I promise I will not make a mistake and kill you.
speechbubble_ghost_id_1020_og_part1;I am awake now but my friends are gone and I am lost. The bad things don't hurt me now but I am still scared because I am alone.
